item_number,reference,number,receipt,issue,physical_date,financial_date
SOIL-045,Sales order,SO-10000,0,19,2026-07-19 09:00:00,2026-07-19 09:00:00
HOSE-112,Sales order,SO-10000,0,2,2026-07-19 09:00:00,2026-07-19 09:00:00
PLANT-102,Sales order,SO-10000,0,3,2026-07-19 09:00:00,2026-07-19 09:00:00
POT-210,Sales order,SO-10001,0,23,2026-05-26 11:00:00,2026-05-26 11:00:00
TOOL-007,Sales order,SO-10002,0,12,2026-06-22 13:00:00,2026-06-22 13:00:00
SEED-331,Sales order,SO-10003,0,21,2026-07-15 12:00:00,2026-07-15 12:00:00
FERT-018,Sales order,SO-10004,0,4,2026-07-17 13:00:00,2026-07-17 13:00:00
SEED-331,Sales order,SO-10005,0,23,2026-06-16 12:00:00,2026-06-16 12:00:00
SOIL-045,Sales order,SO-10005,0,20,2026-06-16 12:00:00,2026-06-16 12:00:00
POT-210,Sales order,SO-10005,0,18,2026-06-16 12:00:00,2026-06-16 12:00:00
TOOL-007,Sales order,SO-10006,0,2,2026-07-31 11:00:00,2026-07-31 11:00:00
FERT-018,Sales order,SO-10006,0,2,2026-07-31 11:00:00,2026-07-31 11:00:00
TOOL-007,Sales order,SO-10006,0,13,2026-07-31 11:00:00,2026-07-31 11:00:00
TRAY-088,Sales order,SO-10007,0,5,2026-06-02 09:00:00,2026-06-02 09:00:00
SEED-331,Sales order,SO-10007,0,5,2026-06-02 09:00:00,2026-06-02 09:00:00
FERT-018,Sales order,SO-10007,0,24,2026-06-02 09:00:00,2026-06-02 09:00:00
TRAY-088,Sales order,SO-10008,0,3,2026-07-09 16:00:00,2026-07-09 16:00:00
PLANT-102,Sales order,SO-10008,0,4,2026-07-09 16:00:00,2026-07-09 16:00:00
POT-210,Sales order,SO-10008,0,21,2026-07-09 16:00:00,2026-07-09 16:00:00
SOIL-045,Sales order,SO-10009,0,22,2026-05-19 14:00:00,2026-05-19 14:00:00
SEED-331,Sales order,SO-10009,0,21,2026-05-19 14:00:00,2026-05-19 14:00:00
TOOL-007,Sales order,SO-10009,0,4,2026-05-19 14:00:00,2026-05-19 14:00:00
SOIL-045,Sales order,SO-10010,0,21,2026-06-05 14:00:00,2026-06-05 14:00:00
SEED-331,Sales order,SO-10010,0,21,2026-06-05 14:00:00,2026-06-05 14:00:00
FERT-018,Sales order,SO-10010,0,5,2026-06-05 14:00:00,2026-06-05 14:00:00
FERT-018,Sales order,SO-10011,0,2,2026-06-15 10:00:00,2026-06-15 10:00:00
FERT-018,Sales order,SO-10011,0,19,2026-06-15 10:00:00,2026-06-15 10:00:00
HOSE-112,Sales order,SO-10012,0,7,2026-05-09 09:00:00,2026-05-09 09:00:00
FERT-018,Sales order,SO-10012,0,23,2026-05-09 09:00:00,2026-05-09 09:00:00
PLANT-102,Sales order,SO-10013,0,19,2026-06-07 14:00:00,2026-06-07 14:00:00
FERT-018,Sales order,SO-10013,0,19,2026-06-07 14:00:00,2026-06-07 14:00:00
SOIL-045,Sales order,SO-10014,0,17,2026-05-27 08:00:00,2026-05-27 08:00:00
FERT-018,Sales order,SO-10014,0,9,2026-05-27 08:00:00,2026-05-27 08:00:00
FERT-018,Sales order,SO-10015,0,4,2026-07-23 15:00:00,2026-07-23 15:00:00
SOIL-045,Sales order,SO-10015,0,22,2026-07-23 15:00:00,2026-07-23 15:00:00
HOSE-112,Sales order,SO-10016,0,24,2026-06-23 13:00:00,2026-06-23 13:00:00
TRAY-088,Sales order,SO-10017,0,8,2026-06-11 09:00:00,2026-06-11 09:00:00
SOIL-045,Sales order,SO-10017,0,15,2026-06-11 09:00:00,2026-06-11 09:00:00
HOSE-112,Sales order,SO-10018,0,16,2026-08-10 16:00:00,2026-08-10 16:00:00
TRAY-088,Sales order,SO-10019,0,10,2026-06-29 11:00:00,2026-06-29 11:00:00
HOSE-112,Sales order,SO-10019,0,23,2026-06-29 11:00:00,2026-06-29 11:00:00
PLANT-102,Sales order,SO-10020,0,24,2026-07-31 16:00:00,2026-07-31 16:00:00
TOOL-007,Sales order,SO-10020,0,2,2026-07-31 16:00:00,2026-07-31 16:00:00
PLANT-102,Sales order,SO-10020,0,19,2026-07-31 16:00:00,2026-07-31 16:00:00
FERT-018,Sales order,SO-10021,0,13,2026-06-29 16:00:00,2026-06-29 16:00:00
SOIL-045,Sales order,SO-10021,0,19,2026-06-29 16:00:00,2026-06-29 16:00:00
FERT-018,Sales order,SO-10021,0,19,2026-06-29 16:00:00,2026-06-29 16:00:00
SEED-331,Sales order,SO-10022,0,13,2026-07-14 08:00:00,2026-07-14 08:00:00
FERT-018,Sales order,SO-10023,0,17,2026-05-15 12:00:00,2026-05-15 12:00:00
SEED-331,Sales order,SO-10024,0,20,2026-06-01 10:00:00,2026-06-01 10:00:00
PLANT-102,Sales order,SO-10024,0,22,2026-06-01 10:00:00,2026-06-01 10:00:00
SEED-331,Sales order,SO-10024,0,22,2026-06-01 10:00:00,2026-06-01 10:00:00
TOOL-007,Sales order,SO-10025,0,7,2026-05-12 10:00:00,2026-05-12 10:00:00
SEED-331,Sales order,SO-10025,0,17,2026-05-12 10:00:00,2026-05-12 10:00:00
TRAY-088,Sales order,SO-10025,0,9,2026-05-12 10:00:00,2026-05-12 10:00:00
SEED-331,Sales order,SO-10026,0,6,2026-08-22 08:00:00,2026-08-22 08:00:00
PLANT-102,Sales order,SO-10027,0,12,2026-08-01 15:00:00,2026-08-01 15:00:00
POT-210,Sales order,SO-10027,0,14,2026-08-01 15:00:00,2026-08-01 15:00:00
POT-210,Sales order,SO-10027,0,2,2026-08-01 15:00:00,2026-08-01 15:00:00
HOSE-112,Sales order,SO-10028,0,20,2026-06-07 13:00:00,2026-06-07 13:00:00
POT-210,Sales order,SO-10028,0,8,2026-06-07 13:00:00,2026-06-07 13:00:00
POT-210,Sales order,SO-10028,0,6,2026-06-07 13:00:00,2026-06-07 13:00:00
POT-210,Sales order,SO-10029,0,23,2026-08-19 14:00:00,2026-08-19 14:00:00
SOIL-045,Sales order,SO-10029,0,13,2026-08-19 14:00:00,2026-08-19 14:00:00
PLANT-102,Sales order,SO-10030,0,22,2026-08-18 08:00:00,2026-08-18 08:00:00
TOOL-007,Sales order,SO-10031,0,1,2026-05-23 14:00:00,2026-05-23 14:00:00
SOIL-045,Sales order,SO-10031,0,9,2026-05-23 14:00:00,2026-05-23 14:00:00
POT-210,Sales order,SO-10031,0,19,2026-05-23 14:00:00,2026-05-23 14:00:00
SOIL-045,Sales order,SO-10032,0,13,2026-06-01 08:00:00,2026-06-01 08:00:00
FERT-018,Sales order,SO-10032,0,9,2026-06-01 08:00:00,2026-06-01 08:00:00
TOOL-007,Sales order,SO-10033,0,22,2026-05-04 14:00:00,2026-05-04 14:00:00
SOIL-045,Sales order,SO-10033,0,24,2026-05-04 14:00:00,2026-05-04 14:00:00
SEED-331,Sales order,SO-10033,0,17,2026-05-04 14:00:00,2026-05-04 14:00:00
POT-210,Sales order,SO-10034,0,20,2026-06-07 14:00:00,2026-06-07 14:00:00
SEED-331,Sales order,SO-10034,0,13,2026-06-07 14:00:00,2026-06-07 14:00:00
PLANT-102,Sales order,SO-10034,0,10,2026-06-07 14:00:00,2026-06-07 14:00:00
TRAY-088,Sales order,SO-10035,0,24,2026-06-04 11:00:00,2026-06-04 11:00:00
POT-210,Sales order,SO-10035,0,22,2026-06-04 11:00:00,2026-06-04 11:00:00
