sales_order_number,customer_account,customer_name,order_type,channel,status,do_not_process,site,warehouse,invoice_date
SO-10000,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-19
SO-10001,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-26
SO-10002,C-1005,Palm Grove,Rush,Retail Store,Open,Yes,DXB-01,WH-B,2026-06-22
SO-10003,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-07-15
SO-10004,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-07-17
SO-10005,C-1008,Sand & Stone,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-06-16
SO-10006,C-1003,Bloom Online,Standard,Online,Open,No,AUH-02,WH-B,2026-07-31
SO-10007,C-1004,Desert Gardens,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-06-02
SO-10008,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-07-09
SO-10009,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-05-19
SO-10010,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-B,2026-06-05
SO-10011,C-1001,Greenfield Retail,Rush,Wholesale,Cancelled,No,AUH-02,WH-B,2026-06-15
SO-10012,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-05-09
SO-10013,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-A,2026-06-07
SO-10014,C-1002,Oasis Wholesale,Standard,Wholesale,Cancelled,No,DXB-01,WH-A,2026-05-27
SO-10015,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-23
SO-10016,C-1007,Cedar Home,Standard,Online,Open,No,AUH-02,WH-A,2026-06-23
SO-10017,C-1004,Desert Gardens,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-06-11
SO-10018,C-1002,Oasis Wholesale,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-08-10
SO-10019,C-1007,Cedar Home,Rush,Retail Store,Cancelled,No,DXB-01,WH-B,2026-06-29
SO-10020,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-07-31
SO-10021,C-1003,Bloom Online,Standard,Retail Store,Cancelled,No,DXB-01,WH-A,2026-06-29
SO-10022,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-B,2026-07-14
SO-10023,C-1008,Sand & Stone,Standard,Online,Open,No,DXB-01,WH-A,2026-05-15
SO-10024,C-1006,Nile Nursery,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-06-01
SO-10025,C-1005,Palm Grove,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-05-12
SO-10026,C-1002,Oasis Wholesale,Rush,Wholesale,Cancelled,No,AUH-02,WH-B,2026-08-22
SO-10027,C-1007,Cedar Home,Standard,Wholesale,Cancelled,No,DXB-01,WH-A,2026-08-01
SO-10028,C-1001,Greenfield Retail,Rush,Online,Open,No,DXB-01,WH-A,2026-06-07
SO-10029,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-08-19
SO-10030,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-08-18
SO-10031,C-1006,Nile Nursery,Rush,Online,Open,No,DXB-01,WH-B,2026-05-23
SO-10032,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-01
SO-10033,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-04
SO-10034,C-1006,Nile Nursery,Rush,Online,Open,No,AUH-02,WH-A,2026-06-07
SO-10035,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-06-04
SO-10036,C-1006,Nile Nursery,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-07-03
SO-10037,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-A,2026-05-30
SO-10038,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-07-26
SO-10039,C-1008,Sand & Stone,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-26
SO-10040,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-08-14
SO-10041,C-1002,Oasis Wholesale,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-06-08
SO-10042,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-06-27
SO-10043,C-1004,Desert Gardens,Standard,Online,Open,No,DXB-01,WH-B,2026-08-16
SO-10044,C-1003,Bloom Online,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-20
SO-10045,C-1003,Bloom Online,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-08-17
SO-10046,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-05-31
SO-10047,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-A,2026-05-18
SO-10048,C-1001,Greenfield Retail,Standard,Online,Open,No,AUH-02,WH-B,2026-06-07
SO-10049,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-27
SO-10050,C-1008,Sand & Stone,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-08-15
SO-10051,C-1008,Sand & Stone,Standard,Online,Open,No,AUH-02,WH-B,2026-08-10
SO-10052,C-1007,Cedar Home,Standard,Online,Open,No,DXB-01,WH-B,2026-05-30
SO-10053,C-1005,Palm Grove,Rush,Wholesale,Open,Yes,DXB-01,WH-A,2026-06-03
